,cell2_bc1018,520_1,cell2_bc1010,522_1,cell3_bc1010,26607014,19607016,cell3_bc1011,523_1,cell3_bc1009,64607015,518_1,cell2_bc1011,516_1,13607008,cell3_bc1008,cell2_bc1019,521_1,cell3_bc1017,13607012,61607011,cell2_bc1012,cell2_bc1021,cell3_bc1001,21607010,cell2_bc1020,cell2_bc1016,519_1,cell3_bc1003,cell2_bc1022,cell3_bc1016,61607009,cell3_bc1015,cell2_bc1009,62607013,517_1,cell2_bc1015,cell2_bc1017
140.0,0.8807601426156895,3.1316783004590854e-08,0.3290936441672597,0.98979316229225,0.9999999999971312,0.999096437710828,0.4621115156197461,0.3103477686759142,0.9324958094204056,0.0183543034817445,0.1251262251889066,0.990953772700318,0.3998535586311769,0.9999956482101218,0.383701857380322,0.9939354205660232,0.3407873516429699,0.6434350184203055,0.1728136108125651,0.3355256325486791,0.950104824307386,0.4429021128153729,0.9863967656974556,0.427062989914727,0.3664737980882568,0.2417413929868305,0.5784898805021083,0.0069336595563071,0.4450020829380547,0.0891742307004133,0.011391804766675,0.1983906412871568,0.9999999882946105,0.3235112144276781,0.4254816400255934,0.289049767917593,0.4461468299588903,0.7114417429533592
336.0,0.5216122550050494,0.0153152778199758,0.705088235795324,0.9903591571454124,0.6007514511750724,0.9831305632791532,0.4627935324378785,0.6978771727269358,0.4392448945820106,0.0869754426419039,0.1249712258878085,0.2987336926353073,0.4111056363342074,0.9998122103914902,0.9955972180582754,0.3978122614898537,0.5673235263378313,0.9934134763938932,0.9984966319287788,0.345185396353859,0.6388691222001088,0.6563845279699225,0.9994712117226682,0.4413783833063534,0.3671543301354835,0.5477135353862559,0.3829850719805331,0.9997165486798234,0.44284098283042,0.6981606037766795,0.9926007927983724,0.1733306830474123,0.8079832543760797,0.5382510962169147,0.428411852447168,0.9770366683292088,0.4817979650782254,0.6355472738297071
343.0,0.2261517278144344,0.0269159761689897,0.983578892277824,0.99999689380227,0.6106915822277271,0.0338498925285932,0.4646302493296544,0.5174790939005868,0.4345673805048437,0.6760609164122275,0.1248427716079028,0.2968545057896052,0.9986743647633556,0.800100592885765,0.3761457597244163,0.3928673576443779,0.1223656707879669,0.7200932135058615,0.0672536923352002,0.8925207837840172,0.2581480421039755,0.4801251180611151,0.9999993885061362,0.4371557489503961,0.9890006061293894,0.9982221062501084,0.586695622608564,0.999998490308219,0.4619154659354426,0.9802744720404052,0.9177860740703428,0.193698864125592,0.99988214373863,0.3974066437422593,0.4257229205421787,0.273130177087802,0.607082544076152,0.3276889225118871
347.0,0.6660461110672158,7.183269375644864e-35,0.9953952637675528,0.9997453207325128,0.9999954091256642,0.0350075449518149,0.4649954946627978,0.3469192448793066,0.4466995948421618,0.2190187243745957,0.1142627596039568,0.2982756478063537,0.7648165912208629,0.0644390324942004,0.3756808364810495,0.3928491566989578,0.042478482307777,0.0933311648333669,0.7474010016997786,0.9999701802749592,0.2640719757632793,0.6163749896629008,0.9999995750114252,0.4265656805399641,0.9951254876683924,0.9998858478605486,0.396787003921379,0.999960254776196,0.9849665755154948,0.5724019306978774,0.2721712995221875,0.1834769235928419,0.929521528873612,0.370315084325174,0.96406799222462,0.9886868450691092,0.3665464868865753,0.3559038348618747
360.0,0.9999973039322216,0.0523411555423527,0.583081145432578,0.9998655796311904,0.1170511151624364,0.980990641739414,0.4652758824875582,0.7395627548334339,0.4379747413402656,0.2076817459553027,0.9855996989682004,0.3016122092866654,0.9892491036357384,0.9995843118725548,0.388221095805345,0.3700194287654917,0.1482147617011174,0.551373502801336,0.0872208620088702,0.3478408723365045,0.2760338042221996,0.4670215026519993,0.3020472306331727,0.7605411551708476,0.3575011708884852,0.9446870351600322,0.411869565712293,0.9627593402189968,0.4631375432817018,0.4209574723899311,0.3080427671976742,0.1824380140214953,0.0002543588646486,0.4269942013251909,0.4257229205421787,0.6311932198980197,0.9999925642633714,0.9969060146186428
407.0,0.2405577063986082,0.9994788140678816,,0.9082210421926052,0.9970314957722884,0.995755365222295,0.4676866535936524,0.1541823197738176,0.4381931686334643,0.1957389510217483,0.1098990627172583,0.2900644446899087,0.9638451153278792,0.7072464020350693,0.3745389514564879,0.9955188479936166,0.3010755926458288,0.7993363951416687,0.1615249487849375,0.3363451323233351,0.9812504451101076,0.6549685499105687,0.2383248375541537,0.4283684129625536,0.3454206110753009,,0.5884625211358024,0.9428539969222534,0.8626305595256594,0.6479003716684947,0.5502860490307496,0.1744691886596381,0.9461257048849108,,0.4195355791364718,0.994288988094859,0.5702627985415849,
408.0,0.2024443996384768,0.9999997344474912,,0.9956371013218404,0.9898481176148216,0.5834207563141461,0.4663127252189086,0.9999790605810516,0.4328437697073302,0.4297656890977593,0.1250431311726243,0.9995914673303548,0.3998535586311769,0.99799055995589,0.9807355523564848,0.3901104958115001,0.3297428710063836,0.9993500924393712,0.2504472510579495,0.342815275567621,0.2644300536806402,0.433601702028293,5.471177656179405e-12,0.427062989914727,0.3620650288881587,,0.751121385477964,0.982883242220848,0.4458736360414428,0.8140873123657437,0.7158927574200652,0.1733318110520951,0.8608973085614288,,0.4267302959615539,0.9709884858431642,0.2047896653127334,
410.0,0.0561479064449061,0.9739910791701452,,0.9344818219893684,0.999865213398632,0.0075594252099874,0.4646302493296544,0.9801733463771496,0.4381931686334643,0.6713494897084774,0.1178493654721843,0.2891204473165535,0.857469106274943,0.0003431381473031,0.9746578738530444,0.0009551413806284,0.3341095144992006,0.9561439657095732,,0.3553363406360881,0.2622702089271449,0.7934883390516584,0.5008817581843403,0.4207438424764792,0.4090368384683884,0.5758487746048835,0.3464024755687171,0.9760780768741186,0.4478660601776713,0.5662971917574336,0.9915194983436604,0.1635503827749749,0.0572885336819016,,0.4317750278510712,0.9766206216873928,0.9909365200716704,
411.0,0.2149110176687969,0.999999037575394,0.3197297085854254,0.99949329355521,0.6736471958669564,0.0492215605824157,,0.9999999992574932,0.4338834275477772,0.0668025113020255,8.81209492770917e-06,0.2950384753053202,0.9614612332702964,0.5070689907922274,0.9928562373041188,0.9834327268071374,0.320569279300181,0.9999999996815272,,0.3391952677089945,0.2705057540269996,,0.7546817176219283,0.4227398151618217,0.3454205053286481,0.2482933822267758,0.5845051675030406,0.7874589513013476,0.4482624131002503,0.5280401854760407,0.9918650523651852,0.9933569644604572,,0.2985664514730333,0.423273090980633,0.981401232186516,0.9635227011457926,0.1459219956657838
412.0,0.2024443996384768,0.9999998389661952,0.303204194068547,0.9998455969232688,0.99011189268678,0.0335797319061644,0.4639491331339777,0.9922513333224282,0.4338834275477772,0.1972039343652665,0.112062640792954,0.2978122064885688,0.3904375240543284,0.5042440881420014,0.967203160631922,0.3908449180401069,0.8828818560894746,0.9749789728348124,,0.3365277112975427,0.2664923044026575,,0.2695812775155451,0.4394851536448239,0.3798506129198697,0.2533905176060638,0.627931351369667,0.0209165214074323,0.1956422961421696,0.9685735676420056,0.9595248942612622,0.1888642764793572,,0.9309650547443226,0.4239899823523546,0.9669356462062778,0.4432370031580723,0.9023814158233476
